2022-09-26 14:26:01 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%94%BF%E6%B2%BB?start=40
2022-09-26 14:26:09 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%8E%8B%E6%9C%94?start=40
2022-09-26 14:26:10 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%BB%98%E7%94%BB?start=0
2022-09-26 14:26:13 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%BF%83%E7%90%86?start=0
2022-09-26 14:26:44 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%B8%B8%E8%AE%B0?start=0
2022-09-26 14:26:46 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%B8%A4%E6%80%A7?start=0
2022-09-26 14:26:47 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%90%A5%E9%94%80?start=0
2022-09-26 14:26:47 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%AE%B6%E5%B1%85?start=20
2022-09-26 14:26:48 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%81%A5%E5%BA%B7?start=40
2022-09-26 14:26:51 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%BB%8F%E6%B5%8E?start=60
2022-09-26 14:27:16 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%AE%A1%E7%90%86?start=40
2022-09-26 14:27:45 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%BC%81%E4%B8%9A%E5%8F%B2?start=0
2022-09-26 14:27:45 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%A7%91%E6%99%AE?start=0
2022-09-26 14:27:45 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%BA%92%E8%81%94%E7%BD%91?start=0
2022-09-26 14:27:45 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%A7%91%E5%AD%A6?start=0
2022-09-26 14:27:46 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%BA%A4%E4%BA%92%E8%AE%BE%E8%AE%A1?start=0
2022-09-26 14:27:46 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%82%A1%E7%A5%A8?start=20
2022-09-26 14:27:50 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%94%A8%E6%88%B7%E4%BD%93%E9%AA%8C?start=40
2022-09-26 14:28:06 | MainProcess | MainThread | book.py | book.parse_item:81 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%BC%96%E7%A8%8B?start=80
2022-09-26 15:04:19 | MainProcess | MainThread | book.py | book.parse_item:80 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%BD%93%E4%BB%A3%E6%96%87%E5%AD%A6?start=0
2022-09-26 15:04:20 | MainProcess | MainThread | book.py | book.parse_item:80 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%97%A5%E6%9C%AC%E6%96%87%E5%AD%A6?start=20
2022-09-26 15:04:20 | MainProcess | MainThread | book.py | book.parse_item:80 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%96%87%E5%AD%A6?start=20
2022-09-26 15:04:20 | MainProcess | MainThread | book.py | book.parse_item:80 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%9D%82%E6%96%87?start=0
2022-09-26 15:04:20 | MainProcess | MainThread | book.py | book.parse_item:80 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%B0%8F%E8%AF%B4?start=20
2022-09-26 15:04:22 | MainProcess | MainThread | book.py | book.parse_item:80 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%BC%A0%E7%88%B1%E7%8E%B2?start=20
2022-09-26 15:04:22 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '', 'author': '', 'publisher': '', 'produce': '', 'pubTime': '', 'pageNum': '', 'price': '', 'binding': '', 'ISBN': '', 'category': '童话', 'score': '', 'commented': '', 'link': 'https://book.douban.com/subject/7058461/'}
2022-09-26 15:04:23 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '航海大发现', 'author': '[美]亨德里克·威廉·房龙', 'publisher': '后浪', 'produce': '后浪', 'pubTime': '2022-5', 'pageNum': '136', 'price': '46.00元', 'binding': '精装', 'ISBN': '9787559445100', 'category': '儿童文学', 'score': '9.6', 'commented': '19', 'link': 'https://book.douban.com/subject/35964215/'}
2022-09-26 15:04:23 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '', 'author': '', 'publisher': '', 'produce': '', 'pubTime': '', 'pageNum': '', 'price': '', 'binding': '', 'ISBN': '', 'category': '中国文学', 'score': '', 'commented': '', 'link': 'https://book.douban.com/subject/35964293/'}
2022-09-26 15:04:23 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '四世同堂', 'author': '老舍', 'publisher': '北京十月文艺出版社', 'produce': '十月文化', 'pubTime': '2008-07', 'pageNum': '590', 'price': '36.00元', 'binding': '精装', 'ISBN': '9787530209226', 'category': '经典', 'score': '9.4', 'commented': '31451', 'link': 'https://book.douban.com/subject/3183775/'}
2022-09-26 15:04:24 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '万家灯火，一盏归处', 'author': '史铁生 等', 'publisher': '北京联合出版公司', 'produce': '', 'pubTime': '2022-6-1', 'pageNum': '', 'price': '45.00元', 'binding': '平装', 'ISBN': '9787559660893', 'category': '随笔', 'score': '9.3', 'commented': '41', 'link': 'https://book.douban.com/subject/35932361/'}
2022-09-26 15:04:24 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '温暖和百感交集的旅程', 'author': '余华', 'publisher': '作家出版社', 'produce': '', 'pubTime': '2012-9', 'pageNum': '149', 'price': '24.00元', 'binding': '精装', 'ISBN': '9787506365291', 'category': '余华', 'score': '8.3', 'commented': '92', 'link': 'https://book.douban.com/subject/26263601/'}
2022-09-26 15:04:24 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '仙症', 'author': '郑执', 'publisher': '北京日报出版社', 'produce': '理想国', 'pubTime': '2020-10', 'pageNum': '240', 'price': '58.00', 'binding': '精装', 'ISBN': '9787547738207', 'category': '中国文学', 'score': '8.2', 'commented': '9952', 'link': 'https://book.douban.com/subject/35216559/'}
2022-09-26 15:04:24 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '我胆小如鼠', 'author': '余华', 'publisher': '上海文艺出版社', 'produce': '', 'pubTime': '2004-01', 'pageNum': '165', 'price': '12.00', 'binding': '平装', 'ISBN': '9787532126170', 'category': '余华', 'score': '7.5', 'commented': '4506', 'link': 'https://book.douban.com/subject/1062148/'}
2022-09-26 15:04:25 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '', 'author': '', 'publisher': '', 'produce': '', 'pubTime': '', 'pageNum': '', 'price': '', 'binding': '', 'ISBN': '', 'category': '古典文学', 'score': '', 'commented': '', 'link': 'https://book.douban.com/subject/1838882/'}
2022-09-26 15:04:25 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '许三观卖血记', 'author': '余华', 'publisher': '北京十月文艺出版社', 'produce': '', 'pubTime': '2021-7', 'pageNum': '', 'price': '49.50元', 'binding': '', 'ISBN': '9787530221570', 'category': '余华', 'score': '9.2', 'commented': '48', 'link': 'https://book.douban.com/subject/35481712/'}
2022-09-26 15:04:25 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '我只知道人是什么', 'author': '余华', 'publisher': '译林出版社', 'produce': '人天兀鲁思', 'pubTime': '2021-12', 'pageNum': '328', 'price': '58元', 'binding': '精装', 'ISBN': '9787544788182', 'category': '余华', 'score': '7.9', 'commented': '70', 'link': 'https://book.douban.com/subject/35685544/'}
2022-09-26 15:04:26 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '蓝色的海豚岛', 'author': '斯·奥台尔', 'publisher': '新蕾出版社', 'produce': '', 'pubTime': '2011-1', 'pageNum': '176', 'price': '16.00元', 'binding': '平装', 'ISBN': '9787530749951', 'category': '儿童文学', 'score': '8.7', 'commented': '356', 'link': 'https://book.douban.com/subject/5404960/'}
