2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['推理小说', '536888', 'https://book.douban.com/tag/推理小说', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['奇幻', '460702', 'https://book.douban.com/tag/奇幻', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['武侠', '400841', 'https://book.douban.com/tag/武侠', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['日本漫画', '400562', 'https://book.douban.com/tag/日本漫画', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['耽美', '385478', 'https://book.douban.com/tag/耽美', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['科幻小说', '327327', 'https://book.douban.com/tag/科幻小说', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['网络小说', '293603', 'https://book.douban.com/tag/网络小说', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['三毛', '276448', 'https://book.douban.com/tag/三毛', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['韩寒', '271365', 'https://book.douban.com/tag/韩寒', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['亦舒', '248942', 'https://book.douban.com/tag/亦舒', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['阿加莎·克里斯蒂', '244281', 'https://book.douban.com/tag/阿加莎·克里斯蒂', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['金庸', '204889', 'https://book.douban.com/tag/金庸', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['穿越', '178987', 'https://book.douban.com/tag/穿越', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['安妮宝贝', '178113', 'https://book.douban.com/tag/安妮宝贝', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['轻小说', '166966', 'https://book.douban.com/tag/轻小说', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['魔幻', '166734', 'https://book.douban.com/tag/魔幻', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['郭敬明', '159991', 'https://book.douban.com/tag/郭敬明', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['青春文学', '155024', 'https://book.douban.com/tag/青春文学', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['几米', '122309', 'https://book.douban.com/tag/几米', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['J.K.罗琳', '120760', 'https://book.douban.com/tag/J.K.罗琳', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['幾米', '106314', 'https://book.douban.com/tag/幾米', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['张小娴', '98853', 'https://book.douban.com/tag/张小娴', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['校园', '98197', 'https://book.douban.com/tag/校园', 2]
